monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20250330,20250406,1119
0,0,0,0,0,0,1,20250330,20250406,398
0,0,0,0,0,0,1,20250330,20250413,1150
0,0,0,0,0,0,1,20250330,20250413,1168
0,0,0,0,0,0,1,20250330,20250413,242
0,0,0,0,0,0,1,20250330,20250413,386
0,0,0,0,0,0,1,20250330,20250420,1132
0,0,0,0,0,0,1,20250330,20250421,1020
0,0,0,0,0,0,1,20250330,20250427,1018
0,0,0,0,0,0,1,20250330,20250427,205
0,0,0,0,0,0,1,20250330,20250427,318
0,0,0,0,0,0,1,20250330,20250427,370
0,0,0,0,0,0,1,20250330,20250427,390
0,0,0,0,0,0,1,20250330,20250427,466
0,0,0,0,0,0,1,20250330,20250427,551
0,0,0,0,0,0,1,20250330,20250427,557
0,0,0,0,0,0,1,20250330,20250427,706
0,0,0,0,0,0,1,20250330,20250427,910
0,0,0,0,0,0,1,20250403,20250423,974
0,0,0,0,0,0,1,20250404,20250413,1191
0,0,0,0,0,0,1,20250405,20250406,984
0,0,0,0,0,0,1,20250405,20250413,812
0,0,0,0,0,0,1,20250405,20250420,519
0,0,0,0,0,0,1,20250406,20250413,238
0,0,0,0,0,0,1,20250406,20250413,777
0,0,0,0,0,0,1,20250406,20250417,1112
0,0,0,0,0,0,1,20250406,20250427,1194
0,0,0,0,0,0,1,20250406,20250427,21
0,0,0,0,0,0,1,20250412,20250420,367
0,0,0,0,0,0,1,20250412,20250421,122
0,0,0,0,0,0,1,20250413,20250420,234
0,0,0,0,0,0,1,20250413,20250427,92
0,0,0,0,0,0,1,20250413,20250427,975
0,0,0,0,0,0,1,20250420,20250427,401
0,0,0,0,0,1,0,20250330,20250426,1024
0,0,0,0,0,1,0,20250405,20250412,617
0,0,0,0,0,1,0,20250405,20250413,775
0,0,0,0,0,1,0,20250405,20250415,243
0,0,0,0,0,1,0,20250405,20250418,387
0,0,0,0,0,1,0,20250405,20250419,98
0,0,0,0,0,1,0,20250405,20250420,1187
0,0,0,0,0,1,0,20250405,20250420,291
0,0,0,0,0,1,0,20250405,20250421,488
0,0,0,0,0,1,0,20250405,20250426,1169
0,0,0,0,0,1,0,20250405,20250426,1219
0,0,0,0,0,1,0,20250405,20250426,319
0,0,0,0,0,1,0,20250405,20250426,45
0,0,0,0,0,1,0,20250405,20250426,564
0,0,0,0,0,1,0,20250405,20250426,696
0,0,0,0,0,1,0,20250405,20250426,954
0,0,0,0,0,1,0,20250405,20250427,1222
0,0,0,0,0,1,0,20250405,20250429,418
0,0,0,0,0,1,0,20250412,20250419,102
0,0,0,0,0,1,0,20250412,20250420,483
0,0,0,0,0,1,0,20250412,20250426,19
0,0,0,0,0,1,0,20250412,20250426,949
0,0,0,0,0,1,0,20250419,20250426,1000
0,0,0,0,0,1,0,20250419,20250427,1110
0,0,0,0,0,1,0,20250419,20250427,595
0,0,0,0,0,1,1,20250330,20250406,61
0,0,0,0,0,1,1,20250330,20250407,119
0,0,0,0,0,1,1,20250330,20250411,783
0,0,0,0,0,1,1,20250330,20250412,353
0,0,0,0,0,1,1,20250330,20250413,334
0,0,0,0,0,1,1,20250330,20250416,263
0,0,0,0,0,1,1,20250330,20250418,86
0,0,0,0,0,1,1,20250330,20250420,747
0,0,0,0,0,1,1,20250330,20250421,252
0,0,0,0,0,1,1,20250330,20250421,529
0,0,0,0,0,1,1,20250330,20250424,600
0,0,0,0,0,1,1,20250330,20250427,106
0,0,0,0,0,1,1,20250330,20250427,1093
0,0,0,0,0,1,1,20250330,20250427,405
0,0,0,0,0,1,1,20250330,20250427,489
0,0,0,0,0,1,1,20250330,20250427,703
0,0,0,0,0,1,1,20250330,20250427,982
0,0,0,0,0,1,1,20250404,20250413,259
0,0,0,0,0,1,1,20250405,20250406,633
0,0,0,0,0,1,1,20250405,20250412,940
0,0,0,0,0,1,1,20250405,20250413,848
0,0,0,0,0,1,1,20250405,20250416,1075
0,0,0,0,0,1,1,20250405,20250420,646
0,0,0,0,0,1,1,20250405,20250421,1159
0,0,0,0,0,1,1,20250405,20250421,506
0,0,0,0,0,1,1,20250405,20250421,588
0,0,0,0,0,1,1,20250405,20250427,1212
0,0,0,0,0,1,1,20250405,20250427,469
0,0,0,0,0,1,1,20250405,20250427,724
0,0,0,0,0,1,1,20250406,20250412,66
0,0,0,0,0,1,1,20250406,20250413,82
0,0,0,0,0,1,1,20250406,20250420,892
0,0,0,0,0,1,1,20250412,20250413,150
0,0,0,0,0,1,1,20250412,20250420,406
0,0,0,0,0,1,1,20250412,20250427,1048
0,0,0,0,0,1,1,20250412,20250427,1054
0,0,0,0,0,1,1,20250412,20250427,797
0,0,0,0,0,1,1,20250412,20250427,803
0,0,0,0,0,1,1,20250412,20250427,846
0,0,0,0,0,1,1,20250413,20250420,921
0,0,0,0,0,1,1,20250413,20250421,916
0,0,0,0,0,1,1,20250417,20250428,34
0,0,0,0,0,1,1,20250418,20250426,654
0,0,0,0,0,1,1,20250418,20250427,1196
0,0,0,0,0,1,1,20250419,20250420,887
0,0,0,0,0,1,1,20250419,20250426,1090
0,0,0,0,0,1,1,20250419,20250427,841
0,0,0,0,0,1,1,20250420,20250426,977
0,0,0,0,0,1,1,20250420,20250427,327
0,0,0,0,0,1,1,20250426,20250427,94
0,0,0,0,1,0,0,20250330,20250411,589
0,0,0,0,1,0,0,20250404,20250411,672
0,0,0,0,1,0,0,20250404,20250417,669
0,0,0,0,1,0,0,20250404,20250425,25
0,0,0,0,1,0,0,20250404,20250425,784
0,0,0,0,1,0,0,20250404,20250426,472
0,0,0,0,1,0,0,20250404,20250427,253
0,0,0,0,1,0,0,20250411,20250422,692
0,0,0,0,1,0,0,20250411,20250425,184
0,0,0,0,1,0,0,20250411,20250425,891
0,0,0,0,1,0,0,20250412,20250420,533
0,0,0,0,1,0,0,20250417,20250425,58
0,0,0,0,1,0,0,20250417,20250426,774
0,0,0,0,1,0,0,20250418,20250425,631
0,0,0,0,1,0,0,20250418,20250426,520
0,0,0,0,1,0,1,20250330,20250404,410
0,0,0,0,1,0,1,20250330,20250404,937
0,0,0,0,1,0,1,20250330,20250406,676
0,0,0,0,1,0,1,20250330,20250413,659
0,0,0,0,1,0,1,20250330,20250417,212
0,0,0,0,1,0,1,20250330,20250417,388
0,0,0,0,1,0,1,20250331,20250413,136
0,0,0,0,1,0,1,20250404,20250406,528
0,0,0,0,1,0,1,20250404,20250411,726
0,0,0,0,1,0,1,20250404,20250413,1133
0,0,0,0,1,0,1,20250406,20250413,148
0,0,0,0,1,0,1,20250411,20250413,128
0,0,0,0,1,0,1,20250412,20250421,462
0,0,0,0,1,0,1,20250413,20250418,801
0,0,0,0,1,0,1,20250413,20250421,143
0,0,0,0,1,0,1,20250418,20250420,1214
0,0,0,0,1,0,1,20250419,20250428,206
0,0,0,0,1,0,1,20250425,20250427,944
0,0,0,0,1,1,0,20250404,20250405,373
0,0,0,0,1,1,0,20250404,20250412,905
0,0,0,0,1,1,0,20250404,20250413,213
0,0,0,0,1,1,0,20250405,20250412,1128
0,0,0,0,1,1,0,20250411,20250412,11
0,0,0,0,1,1,0,20250412,20250418,744
0,0,0,0,1,1,0,20250412,20250419,1084
0,0,0,0,1,1,0,20250412,20250420,88
0,0,0,0,1,1,0,20250417,20250425,1120
0,0,0,0,1,1,0,20250418,20250419,1129
0,0,0,0,1,1,0,20250418,20250423,805
0,0,0,0,1,1,0,20250418,20250425,294
0,0,0,0,1,1,0,20250418,20250426,437
0,0,0,0,1,1,0,20250425,20250426,75
0,0,0,0,1,1,0,20250425,20250426,997
0,0,0,0,1,1,1,20250330,20250411,76
0,0,0,0,1,1,1,20250330,20250413,667
0,0,0,0,1,1,1,20250330,20250416,554
0,0,0,0,1,1,1,20250404,20250411,449
0,0,0,0,1,1,1,20250405,20250411,287
0,0,0,0,1,1,1,20250406,20250416,1174
0,0,0,0,1,1,1,20250411,20250413,681
0,0,0,0,1,1,1,20250412,20250418,1175
0,0,0,0,1,1,1,20250412,20250421,1211
0,0,0,0,1,1,1,20250412,20250427,216
0,0,0,0,1,1,1,20250413,20250427,856
0,0,0,0,1,1,1,20250418,20250420,1108
0,0,0,0,1,1,1,20250418,20250427,830
0,0,0,0,1,1,1,20250419,20250425,831
0,0,0,0,1,1,1,20250419,20250426,717
0,0,0,0,1,1,1,20250419,20250427,623
0,0,0,0,1,1,1,20250425,20250427,111
0,0,0,1,0,0,0,20250403,20250415,1083
0,0,0,1,0,0,0,20250403,20250416,323
0,0,0,1,0,0,0,20250412,20250425,411
0,0,0,1,0,0,0,20250417,20250424,6
0,0,0,1,0,0,1,20250330,20250403,1014
0,0,0,1,0,0,1,20250406,20250410,1189
0,0,0,1,0,0,1,20250406,20250410,822
0,0,0,1,0,0,1,20250417,20250420,955
0,0,0,1,0,1,0,20250401,20250413,765
0,0,0,1,0,1,0,20250412,20250417,656
0,0,0,1,0,1,0,20250417,20250419,168
0,0,0,1,0,1,0,20250417,20250420,427
